Agent info:
	Batch size: 128
	Epoch(s): 1
	Memory length: None
	Gamma: 0.99
	Epsilon decay: 0.99
	Success Margin: -150
	Action Type: Complex Action
	Target model: False

Episode: 1/400, rounds: 499, epsilon: 1.0, score: -500.0, reward: -1.0, elapsed time: 0:00:09
Episode: 2/400, rounds: 499, epsilon: 0.99, score: -500.0, reward: -1.0, elapsed time: 0:00:23
Episode: 3/400, rounds: 499, epsilon: 0.9801, score: -500.0, reward: -1.0, elapsed time: 0:00:36
Episode: 4/400, rounds: 499, epsilon: 0.9703, score: -500.0, reward: -1.0, elapsed time: 0:00:49
Episode: 5/400, rounds: 499, epsilon: 0.9606, score: -500.0, reward: -1.0, elapsed time: 0:01:02
Episode: 6/400, rounds: 499, epsilon: 0.951, score: -500.0, reward: -1.0, elapsed time: 0:01:16
Episode: 7/400, rounds: 499, epsilon: 0.9415, score: -500.0, reward: -1.0, elapsed time: 0:01:29
Episode: 8/400, rounds: 499, epsilon: 0.9321, score: -500.0, reward: -1.0, elapsed time: 0:01:43
Episode: 9/400, rounds: 499, epsilon: 0.9227, score: -500.0, reward: -1.0, elapsed time: 0:01:57
Episode: 10/400, rounds: 499, epsilon: 0.9135, score: -500.0, reward: -1.0, elapsed time: 0:02:10
Episode: 11/400, rounds: 499, epsilon: 0.9044, score: -500.0, reward: -1.0, elapsed time: 0:02:24
Episode: 12/400, rounds: 499, epsilon: 0.8953, score: -500.0, reward: -1.0, elapsed time: 0:02:37
Episode: 13/400, rounds: 499, epsilon: 0.8864, score: -500.0, reward: -1.0, elapsed time: 0:02:51
Episode: 14/400, rounds: 499, epsilon: 0.8775, score: -500.0, reward: -1.0, elapsed time: 0:03:04
Episode: 15/400, rounds: 499, epsilon: 0.8687, score: -500.0, reward: -1.0, elapsed time: 0:03:19
Episode: 16/400, rounds: 466, epsilon: 0.8601, score: -466.0, reward: 0.0, elapsed time: 0:03:32
Episode: 17/400, rounds: 499, epsilon: 0.8515, score: -500.0, reward: -1.0, elapsed time: 0:03:46
Episode: 18/400, rounds: 499, epsilon: 0.8429, score: -500.0, reward: -1.0, elapsed time: 0:04:00
Episode: 19/400, rounds: 499, epsilon: 0.8345, score: -500.0, reward: -1.0, elapsed time: 0:04:14
Episode: 20/400, rounds: 499, epsilon: 0.8262, score: -500.0, reward: -1.0, elapsed time: 0:04:29
Episode: 21/400, rounds: 499, epsilon: 0.8179, score: -500.0, reward: -1.0, elapsed time: 0:04:44
Episode: 22/400, rounds: 499, epsilon: 0.8097, score: -500.0, reward: -1.0, elapsed time: 0:04:59
Episode: 23/400, rounds: 499, epsilon: 0.8016, score: -500.0, reward: -1.0, elapsed time: 0:05:15
Episode: 24/400, rounds: 499, epsilon: 0.7936, score: -500.0, reward: -1.0, elapsed time: 0:05:30
Episode: 25/400, rounds: 499, epsilon: 0.7857, score: -500.0, reward: -1.0, elapsed time: 0:05:45
Episode: 26/400, rounds: 444, epsilon: 0.7778, score: -444.0, reward: 0.0, elapsed time: 0:05:59
Episode: 27/400, rounds: 296, epsilon: 0.77, score: -296.0, reward: 0.0, elapsed time: 0:06:08
Episode: 28/400, rounds: 294, epsilon: 0.7623, score: -294.0, reward: 0.0, elapsed time: 0:06:18
Episode: 29/400, rounds: 499, epsilon: 0.7547, score: -500.0, reward: -1.0, elapsed time: 0:06:33
Episode: 30/400, rounds: 499, epsilon: 0.7472, score: -500.0, reward: -1.0, elapsed time: 0:06:49
Episode: 31/400, rounds: 490, epsilon: 0.7397, score: -490.0, reward: 0.0, elapsed time: 0:07:04
Episode: 32/400, rounds: 490, epsilon: 0.7323, score: -490.0, reward: 0.0, elapsed time: 0:07:20
Episode: 33/400, rounds: 260, epsilon: 0.725, score: -260.0, reward: 0.0, elapsed time: 0:07:28
Episode: 34/400, rounds: 499, epsilon: 0.7177, score: -500.0, reward: -1.0, elapsed time: 0:07:43
Episode: 35/400, rounds: 345, epsilon: 0.7106, score: -345.0, reward: 0.0, elapsed time: 0:07:53
Episode: 36/400, rounds: 267, epsilon: 0.7034, score: -267.0, reward: 0.0, elapsed time: 0:08:02
Episode: 37/400, rounds: 177, epsilon: 0.6964, score: -177.0, reward: 0.0, elapsed time: 0:08:08
Episode: 38/400, rounds: 295, epsilon: 0.6894, score: -295.0, reward: 0.0, elapsed time: 0:08:18
Episode: 39/400, rounds: 243, epsilon: 0.6826, score: -243.0, reward: 0.0, elapsed time: 0:08:25
Episode: 40/400, rounds: 272, epsilon: 0.6757, score: -272.0, reward: 0.0, elapsed time: 0:08:34
Episode: 41/400, rounds: 212, epsilon: 0.669, score: -212.0, reward: 0.0, elapsed time: 0:08:41
Episode: 42/400, rounds: 296, epsilon: 0.6623, score: -296.0, reward: 0.0, elapsed time: 0:08:50
Episode: 43/400, rounds: 204, epsilon: 0.6557, score: -204.0, reward: 0.0, elapsed time: 0:08:57
Episode: 44/400, rounds: 214, epsilon: 0.6491, score: -214.0, reward: 0.0, elapsed time: 0:09:04
Episode: 45/400, rounds: 361, epsilon: 0.6426, score: -361.0, reward: 0.0, elapsed time: 0:09:15
Episode: 46/400, rounds: 254, epsilon: 0.6362, score: -254.0, reward: 0.0, elapsed time: 0:09:24
Episode: 47/400, rounds: 226, epsilon: 0.6298, score: -226.0, reward: 0.0, elapsed time: 0:09:31
Episode: 48/400, rounds: 287, epsilon: 0.6235, score: -287.0, reward: 0.0, elapsed time: 0:09:40
Episode: 49/400, rounds: 193, epsilon: 0.6173, score: -193.0, reward: 0.0, elapsed time: 0:09:47
Episode: 50/400, rounds: 127, epsilon: 0.6111, score: -127.0, reward: 0.0, elapsed time: 0:09:52
Episode: 51/400, rounds: 215, epsilon: 0.605, score: -215.0, reward: 0.0, elapsed time: 0:10:00
Episode: 52/400, rounds: 182, epsilon: 0.599, score: -182.0, reward: 0.0, elapsed time: 0:10:06
Episode: 53/400, rounds: 223, epsilon: 0.593, score: -223.0, reward: 0.0, elapsed time: 0:10:14
Episode: 54/400, rounds: 203, epsilon: 0.587, score: -203.0, reward: 0.0, elapsed time: 0:10:22
Episode: 55/400, rounds: 176, epsilon: 0.5812, score: -176.0, reward: 0.0, elapsed time: 0:10:28
Episode: 56/400, rounds: 203, epsilon: 0.5754, score: -203.0, reward: 0.0, elapsed time: 0:10:35
Episode: 57/400, rounds: 165, epsilon: 0.5696, score: -165.0, reward: 0.0, elapsed time: 0:10:41
Episode: 58/400, rounds: 167, epsilon: 0.5639, score: -167.0, reward: 0.0, elapsed time: 0:10:47
Episode: 59/400, rounds: 174, epsilon: 0.5583, score: -174.0, reward: 0.0, elapsed time: 0:10:53
Episode: 60/400, rounds: 161, epsilon: 0.5527, score: -161.0, reward: 0.0, elapsed time: 0:10:59
Episode: 61/400, rounds: 148, epsilon: 0.5472, score: -148.0, reward: 0.0, elapsed time: 0:11:05
Episode: 62/400, rounds: 149, epsilon: 0.5417, score: -149.0, reward: 0.0, elapsed time: 0:11:10
Episode: 63/400, rounds: 132, epsilon: 0.5363, score: -132.0, reward: 0.0, elapsed time: 0:11:15
Episode: 64/400, rounds: 201, epsilon: 0.5309, score: -201.0, reward: 0.0, elapsed time: 0:11:22
Episode: 65/400, rounds: 133, epsilon: 0.5256, score: -133.0, reward: 0.0, elapsed time: 0:11:27
Episode: 66/400, rounds: 221, epsilon: 0.5203, score: -221.0, reward: 0.0, elapsed time: 0:11:35
Episode: 67/400, rounds: 179, epsilon: 0.5151, score: -179.0, reward: 0.0, elapsed time: 0:11:42
Episode: 68/400, rounds: 162, epsilon: 0.51, score: -162.0, reward: 0.0, elapsed time: 0:11:48
Episode: 69/400, rounds: 214, epsilon: 0.5049, score: -214.0, reward: 0.0, elapsed time: 0:11:55
Episode: 70/400, rounds: 102, epsilon: 0.4998, score: -102.0, reward: 0.0, elapsed time: 0:11:59
Episode: 71/400, rounds: 256, epsilon: 0.4948, score: -256.0, reward: 0.0, elapsed time: 0:12:08
Episode: 72/400, rounds: 186, epsilon: 0.4899, score: -186.0, reward: 0.0, elapsed time: 0:12:16
Episode: 73/400, rounds: 499, epsilon: 0.485, score: -500.0, reward: -1.0, elapsed time: 0:12:33
Episode: 74/400, rounds: 270, epsilon: 0.4801, score: -270.0, reward: 0.0, elapsed time: 0:12:42
Episode: 75/400, rounds: 182, epsilon: 0.4753, score: -182.0, reward: 0.0, elapsed time: 0:12:49
Episode: 76/400, rounds: 153, epsilon: 0.4706, score: -153.0, reward: 0.0, elapsed time: 0:12:55
Episode: 77/400, rounds: 229, epsilon: 0.4659, score: -229.0, reward: 0.0, elapsed time: 0:13:04
Episode: 78/400, rounds: 140, epsilon: 0.4612, score: -140.0, reward: 0.0, elapsed time: 0:13:09
Episode: 79/400, rounds: 149, epsilon: 0.4566, score: -149.0, reward: 0.0, elapsed time: 0:13:15
Episode: 80/400, rounds: 182, epsilon: 0.452, score: -182.0, reward: 0.0, elapsed time: 0:13:22
Episode: 81/400, rounds: 157, epsilon: 0.4475, score: -157.0, reward: 0.0, elapsed time: 0:13:28
Episode: 82/400, rounds: 162, epsilon: 0.443, score: -162.0, reward: 0.0, elapsed time: 0:13:34
Episode: 83/400, rounds: 154, epsilon: 0.4386, score: -154.0, reward: 0.0, elapsed time: 0:13:40
Episode: 84/400, rounds: 139, epsilon: 0.4342, score: -139.0, reward: 0.0, elapsed time: 0:13:45
Episode: 85/400, rounds: 177, epsilon: 0.4299, score: -177.0, reward: 0.0, elapsed time: 0:13:52
Episode: 86/400, rounds: 198, epsilon: 0.4256, score: -198.0, reward: 0.0, elapsed time: 0:14:00
Episode: 87/400, rounds: 165, epsilon: 0.4213, score: -165.0, reward: 0.0, elapsed time: 0:14:06
Episode: 88/400, rounds: 151, epsilon: 0.4171, score: -151.0, reward: 0.0, elapsed time: 0:14:12
Episode: 89/400, rounds: 160, epsilon: 0.4129, score: -160.0, reward: 0.0, elapsed time: 0:14:19
Episode: 90/400, rounds: 168, epsilon: 0.4088, score: -168.0, reward: 0.0, elapsed time: 0:14:25
Episode: 91/400, rounds: 134, epsilon: 0.4047, score: -134.0, reward: 0.0, elapsed time: 0:14:30
Episode: 92/400, rounds: 137, epsilon: 0.4007, score: -137.0, reward: 0.0, elapsed time: 0:14:35
Episode: 93/400, rounds: 129, epsilon: 0.3967, score: -129.0, reward: 0.0, elapsed time: 0:14:41
Episode: 94/400, rounds: 109, epsilon: 0.3927, score: -109.0, reward: 0.0, elapsed time: 0:14:45
Episode: 95/400, rounds: 103, epsilon: 0.3888, score: -103.0, reward: 0.0, elapsed time: 0:14:49
Episode: 96/400, rounds: 136, epsilon: 0.3849, score: -136.0, reward: 0.0, elapsed time: 0:14:55
Episode: 97/400, rounds: 125, epsilon: 0.381, score: -125.0, reward: 0.0, elapsed time: 0:15:00
Episode: 98/400, rounds: 142, epsilon: 0.3772, score: -142.0, reward: 0.0, elapsed time: 0:15:05
Episode: 99/400, rounds: 158, epsilon: 0.3735, score: -158.0, reward: 0.0, elapsed time: 0:15:12
