Agent info:
	Batch size: 128
	Epoch(s): 1
	Memory length: None
	Gamma: 0.99
	Epsilon decay: 0.99
	Replay: 002
	Success Margin: -150
	Action Type: Simple Action

Episode: 1/400, rounds: 69, epsilon: 1.0, score: -171.0, reward: -100, elapsed time: 0:00:00
Episode: 2/400, rounds: 94, epsilon: 0.99, score: -321.2, reward: -100, elapsed time: 0:00:03
Episode: 3/400, rounds: 93, epsilon: 0.9801, score: -159.6, reward: -100, elapsed time: 0:00:06
Episode: 4/400, rounds: 224, epsilon: 0.9703, score: -400.4, reward: -100, elapsed time: 0:00:12
Episode: 5/400, rounds: 117, epsilon: 0.9606, score: -551.4, reward: -100, elapsed time: 0:00:16
Episode: 6/400, rounds: 51, epsilon: 0.951, score: -159.4, reward: -100, elapsed time: 0:00:18
Episode: 7/400, rounds: 66, epsilon: 0.9415, score: -395.4, reward: -100, elapsed time: 0:00:21
Episode: 8/400, rounds: 157, epsilon: 0.9321, score: -466.4, reward: -100, elapsed time: 0:00:26
Episode: 9/400, rounds: 78, epsilon: 0.9227, score: -557.3, reward: -100, elapsed time: 0:00:29
Episode: 10/400, rounds: 120, epsilon: 0.9135, score: -148.1, reward: -100, elapsed time: 0:00:32
Episode: 11/400, rounds: 67, epsilon: 0.9044, score: -179.8, reward: -100, elapsed time: 0:00:35
Episode: 12/400, rounds: 123, epsilon: 0.8953, score: -313.6, reward: -100, elapsed time: 0:00:39
Episode: 13/400, rounds: 86, epsilon: 0.8864, score: -427.4, reward: -100, elapsed time: 0:00:42
Episode: 14/400, rounds: 54, epsilon: 0.8775, score: -384.1, reward: -100, elapsed time: 0:00:44
Episode: 15/400, rounds: 149, epsilon: 0.8687, score: -471.7, reward: -100, elapsed time: 0:00:48
Episode: 16/400, rounds: 102, epsilon: 0.8601, score: -393.7, reward: -100, elapsed time: 0:00:52
Episode: 17/400, rounds: 235, epsilon: 0.8515, score: -234.1, reward: -100, elapsed time: 0:00:59
Episode: 18/400, rounds: 119, epsilon: 0.8429, score: -124.0, reward: -100, elapsed time: 0:01:03
Episode: 19/400, rounds: 137, epsilon: 0.8345, score: -506.4, reward: -100, elapsed time: 0:01:07
Episode: 20/400, rounds: 129, epsilon: 0.8262, score: -4.498, reward: -100, elapsed time: 0:01:12
Episode: 21/400, rounds: 186, epsilon: 0.8179, score: -188.1, reward: -100, elapsed time: 0:01:18
