Agent info:
	Batch size: 128
	Memory length: 50000
	Gamma: 0.99
	Success Margin: -150

Episode: 1/200, rounds: 79, score: -88.06, reward: -100, elapsed time: 0:00:02
Episode: 2/200, rounds: 98, score: -1.051e+03, reward: -100, elapsed time: 0:00:03
Episode: 3/200, rounds: 49, score: -304.4, reward: -100, elapsed time: 0:00:04
Episode: 4/200, rounds: 58, score: -446.8, reward: -100, elapsed time: 0:00:05
Episode: 5/200, rounds: 72, score: -571.5, reward: -100, elapsed time: 0:00:06
Episode: 6/200, rounds: 71, score: -656.1, reward: -100, elapsed time: 0:00:07
Episode: 7/200, rounds: 58, score: -507.2, reward: -100, elapsed time: 0:00:08
Episode: 8/200, rounds: 49, score: -309.2, reward: -100, elapsed time: 0:00:09
Episode: 9/200, rounds: 73, score: -336.6, reward: -100, elapsed time: 0:00:10
Episode: 10/200, rounds: 73, score: -270.1, reward: -100, elapsed time: 0:00:11
Episode: 11/200, rounds: 61, score: -360.4, reward: -100, elapsed time: 0:00:12
Episode: 12/200, rounds: 52, score: -317.8, reward: -100, elapsed time: 0:00:13
Episode: 13/200, rounds: 64, score: -207.4, reward: -100, elapsed time: 0:00:14
Episode: 14/200, rounds: 64, score: -378.2, reward: -100, elapsed time: 0:00:15
Episode: 15/200, rounds: 53, score: -190.2, reward: -100, elapsed time: 0:00:16
Episode: 16/200, rounds: 63, score: -203.8, reward: -100, elapsed time: 0:00:17
Episode: 17/200, rounds: 51, score: -204.9, reward: -100, elapsed time: 0:00:18
Episode: 18/200, rounds: 82, score: -261.4, reward: -100, elapsed time: 0:00:19
Episode: 19/200, rounds: 56, score: -209.9, reward: -100, elapsed time: 0:00:21
Episode: 20/200, rounds: 81, score: -233.4, reward: -100, elapsed time: 0:00:22
Episode: 21/200, rounds: 127, score: -345.7, reward: -100, elapsed time: 0:00:23
Episode: 22/200, rounds: 70, score: -262.9, reward: -100, elapsed time: 0:00:24
Episode: 23/200, rounds: 72, score: -382.0, reward: -100, elapsed time: 0:00:25
Episode: 24/200, rounds: 94, score: -354.6, reward: -100, elapsed time: 0:00:27
Episode: 25/200, rounds: 79, score: -630.0, reward: -100, elapsed time: 0:00:28
Episode: 26/200, rounds: 124, score: -684.5, reward: -100, elapsed time: 0:00:29
Episode: 27/200, rounds: 128, score: -509.0, reward: -100, elapsed time: 0:00:31
Episode: 28/200, rounds: 104, score: -517.6, reward: -100, elapsed time: 0:00:32
Episode: 29/200, rounds: 165, score: -267.5, reward: -100, elapsed time: 0:00:34
Episode: 30/200, rounds: 140, score: -201.0, reward: -100, elapsed time: 0:00:35
Episode: 31/200, rounds: 92, score: -498.2, reward: -100, elapsed time: 0:00:36
Episode: 32/200, rounds: 100, score: -393.8, reward: -100, elapsed time: 0:00:38
Episode: 33/200, rounds: 93, score: -364.4, reward: -100, elapsed time: 0:00:39
Episode: 34/200, rounds: 104, score: -338.1, reward: -100, elapsed time: 0:00:40
Episode: 35/200, rounds: 156, score: -407.4, reward: -100, elapsed time: 0:00:42
Episode: 36/200, rounds: 99, score: -257.9, reward: -100, elapsed time: 0:00:43
Episode: 37/200, rounds: 180, score: -396.2, reward: -100, elapsed time: 0:00:45
Episode: 38/200, rounds: 294, score: -339.3, reward: -100, elapsed time: 0:00:47
Episode: 39/200, rounds: 230, score: -146.6, reward: -100, elapsed time: 0:00:49
Episode: 40/200, rounds: 117, score: -530.1, reward: -100, elapsed time: 0:00:51
Episode: 41/200, rounds: 93, score: -215.6, reward: -100, elapsed time: 0:00:52
Episode: 42/200, rounds: 76, score: -130.9, reward: -100, elapsed time: 0:00:53
Episode: 43/200, rounds: 53, score: -132.1, reward: -100, elapsed time: 0:00:54
Episode: 44/200, rounds: 174, score: -370.0, reward: -100, elapsed time: 0:00:56
Episode: 45/200, rounds: 85, score: -629.2, reward: -100, elapsed time: 0:00:57
Episode: 46/200, rounds: 66, score: -111.0, reward: -100, elapsed time: 0:00:58
Episode: 47/200, rounds: 73, score: -155.7, reward: -100, elapsed time: 0:00:59
Episode: 48/200, rounds: 81, score: -481.8, reward: -100, elapsed time: 0:01:00
Episode: 49/200, rounds: 73, score: -183.6, reward: -100, elapsed time: 0:01:02
Episode: 50/200, rounds: 84, score: -478.5, reward: -100, elapsed time: 0:01:03
Episode: 51/200, rounds: 97, score: -200.1, reward: -100, elapsed time: 0:01:04
Episode: 52/200, rounds: 102, score: -468.7, reward: -100, elapsed time: 0:01:05
Episode: 53/200, rounds: 81, score: -199.9, reward: -100, elapsed time: 0:01:06
Episode: 54/200, rounds: 91, score: -169.5, reward: -100, elapsed time: 0:01:08
Episode: 55/200, rounds: 93, score: -775.1, reward: -100, elapsed time: 0:01:09
Episode: 56/200, rounds: 85, score: -180.1, reward: -100, elapsed time: 0:01:10
Episode: 57/200, rounds: 64, score: -143.7, reward: -100, elapsed time: 0:01:11
Episode: 58/200, rounds: 147, score: -131.0, reward: -100, elapsed time: 0:01:13
Episode: 59/200, rounds: 150, score: -211.6, reward: -100, elapsed time: 0:01:14
