Agent info:
	Batch size: 256
	Epoch(s): 1
	Memory length: None
	Gamma: 0.99
	Epsilon decay: 0.99
	Replay: 002
	Success Margin: -150
	Action Type: Simple Action

Episode: 1/400, rounds: 84, epsilon: 1.0, score: -109.4, reward: -100, elapsed time: 0:00:00
Episode: 2/400, rounds: 80, epsilon: 0.99, score: -150.0, reward: -100, elapsed time: 0:00:00
Episode: 3/400, rounds: 117, epsilon: 0.9801, score: -615.8, reward: -100, elapsed time: 0:00:02
Episode: 4/400, rounds: 65, epsilon: 0.9703, score: -133.6, reward: -100, elapsed time: 0:00:04
Episode: 5/400, rounds: 204, epsilon: 0.9606, score: -557.4, reward: -100, elapsed time: 0:00:09
Episode: 6/400, rounds: 79, epsilon: 0.951, score: -115.2, reward: -100, elapsed time: 0:00:12
Episode: 7/400, rounds: 65, epsilon: 0.9415, score: -221.7, reward: -100, elapsed time: 0:00:15
Episode: 8/400, rounds: 86, epsilon: 0.9321, score: -539.0, reward: -100, elapsed time: 0:00:18
Episode: 9/400, rounds: 73, epsilon: 0.9227, score: -317.1, reward: -100, elapsed time: 0:00:21
Episode: 10/400, rounds: 112, epsilon: 0.9135, score: -446.2, reward: -100, elapsed time: 0:00:25
Episode: 11/400, rounds: 83, epsilon: 0.9044, score: -144.9, reward: -100, elapsed time: 0:00:28
Episode: 12/400, rounds: 66, epsilon: 0.8953, score: -335.2, reward: -100, elapsed time: 0:00:30
Episode: 13/400, rounds: 97, epsilon: 0.8864, score: -199.8, reward: -100, elapsed time: 0:00:34
Episode: 14/400, rounds: 50, epsilon: 0.8775, score: -99.0, reward: -100, elapsed time: 0:00:36
Episode: 15/400, rounds: 220, epsilon: 0.8687, score: -502.9, reward: -100, elapsed time: 0:00:43
Episode: 16/400, rounds: 55, epsilon: 0.8601, score: -48.43, reward: -100, elapsed time: 0:00:45
Episode: 17/400, rounds: 91, epsilon: 0.8515, score: -48.32, reward: -100, elapsed time: 0:00:49
Episode: 18/400, rounds: 228, epsilon: 0.8429, score: -536.4, reward: -100, elapsed time: 0:00:56
Episode: 19/400, rounds: 137, epsilon: 0.8345, score: -246.7, reward: -100, elapsed time: 0:01:01
Episode: 20/400, rounds: 142, epsilon: 0.8262, score: -283.6, reward: -100, elapsed time: 0:01:06
Episode: 21/400, rounds: 81, epsilon: 0.8179, score: -110.8, reward: -100, elapsed time: 0:01:09
Episode: 22/400, rounds: 172, epsilon: 0.8097, score: -407.5, reward: -100, elapsed time: 0:01:15
Episode: 23/400, rounds: 188, epsilon: 0.8016, score: -385.6, reward: -100, elapsed time: 0:01:21
Episode: 24/400, rounds: 151, epsilon: 0.7936, score: -16.55, reward: -100, elapsed time: 0:01:26
Episode: 25/400, rounds: 152, epsilon: 0.7857, score: -229.4, reward: -100, elapsed time: 0:01:32
Episode: 26/400, rounds: 128, epsilon: 0.7778, score: -148.4, reward: -100, elapsed time: 0:01:37
Episode: 27/400, rounds: 141, epsilon: 0.77, score: -100.3, reward: -100, elapsed time: 0:01:42
Episode: 28/400, rounds: 105, epsilon: 0.7623, score: -79.74, reward: -100, elapsed time: 0:01:46
Episode: 29/400, rounds: 99, epsilon: 0.7547, score: -69.9, reward: -100, elapsed time: 0:01:50
Episode: 30/400, rounds: 99, epsilon: 0.7472, score: -156.6, reward: -100, elapsed time: 0:01:54
Episode: 31/400, rounds: 89, epsilon: 0.7397, score: -51.16, reward: -100, elapsed time: 0:01:57
Episode: 32/400, rounds: 113, epsilon: 0.7323, score: 12.87, reward: -100, elapsed time: 0:02:01
Episode: 33/400, rounds: 77, epsilon: 0.725, score: -67.29, reward: -100, elapsed time: 0:02:04
Episode: 34/400, rounds: 64, epsilon: 0.7177, score: -57.5, reward: -100, elapsed time: 0:02:07
Episode: 35/400, rounds: 57, epsilon: 0.7106, score: -79.76, reward: -100, elapsed time: 0:02:10
Episode: 36/400, rounds: 102, epsilon: 0.7034, score: -33.62, reward: -100, elapsed time: 0:02:14
Episode: 37/400, rounds: 131, epsilon: 0.6964, score: -100.9, reward: -100, elapsed time: 0:02:19
Episode: 38/400, rounds: 173, epsilon: 0.6894, score: -21.52, reward: -100, elapsed time: 0:02:25
Episode: 39/400, rounds: 100, epsilon: 0.6826, score: -76.99, reward: -100, elapsed time: 0:02:29
Episode: 40/400, rounds: 83, epsilon: 0.6757, score: -56.72, reward: -100, elapsed time: 0:02:33
Episode: 41/400, rounds: 105, epsilon: 0.669, score: -207.0, reward: -100, elapsed time: 0:02:37
Episode: 42/400, rounds: 114, epsilon: 0.6623, score: -103.6, reward: -100, elapsed time: 0:02:42
Episode: 43/400, rounds: 114, epsilon: 0.6557, score: -40.56, reward: -100, elapsed time: 0:02:47
Episode: 44/400, rounds: 194, epsilon: 0.6491, score: -439.2, reward: -100, elapsed time: 0:02:53
Episode: 45/400, rounds: 272, epsilon: 0.6426, score: -56.08, reward: -100, elapsed time: 0:03:03
Episode: 46/400, rounds: 175, epsilon: 0.6362, score: -265.8, reward: -100, elapsed time: 0:03:09
Episode: 47/400, rounds: 187, epsilon: 0.6298, score: -6.298, reward: -100, elapsed time: 0:03:15
Episode: 48/400, rounds: 267, epsilon: 0.6235, score: -39.91, reward: -100, elapsed time: 0:03:25
Episode: 49/400, rounds: 456, epsilon: 0.6173, score: 199.7, reward: 100, elapsed time: 0:03:40
Episode: 50/400, rounds: 160, epsilon: 0.6111, score: -120.0, reward: -100, elapsed time: 0:03:46
Episode: 51/400, rounds: 378, epsilon: 0.605, score: -326.7, reward: -100, elapsed time: 0:03:59
Episode: 52/400, rounds: 438, epsilon: 0.599, score: -66.81, reward: -100, elapsed time: 0:04:15
Episode: 53/400, rounds: 911, epsilon: 0.593, score: -214.5, reward: -100, elapsed time: 0:04:47
Episode: 54/400, rounds: 188, epsilon: 0.587, score: -9.573, reward: -100, elapsed time: 0:04:55
Episode: 55/400, rounds: 582, epsilon: 0.5812, score: -105.7, reward: -100, elapsed time: 0:05:16
Episode: 56/400, rounds: 999, epsilon: 0.5754, score: -97.72, reward: -1.6215193240466477, elapsed time: 0:05:51
Episode: 57/400, rounds: 765, epsilon: 0.5696, score: -204.9, reward: -100, elapsed time: 0:06:19
Episode: 58/400, rounds: 116, epsilon: 0.5639, score: 19.8, reward: -100, elapsed time: 0:06:24
Episode: 59/400, rounds: 91, epsilon: 0.5583, score: -131.8, reward: -100, elapsed time: 0:06:28
Episode: 60/400, rounds: 282, epsilon: 0.5527, score: -57.77, reward: -100, elapsed time: 0:06:38
Episode: 61/400, rounds: 508, epsilon: 0.5472, score: -130.3, reward: -100, elapsed time: 0:06:56
Episode: 62/400, rounds: 999, epsilon: 0.5417, score: -59.12, reward: 3.0938855166521906, elapsed time: 0:07:31
Episode: 63/400, rounds: 838, epsilon: 0.5363, score: -254.8, reward: -100, elapsed time: 0:08:00
