Agent info:
	Batch size: 64
	Memory length: 50000
	Gamma: 0.99
	Success Margin: -150

Episode: 1/200, rounds: 199, score: -1.576e+03, reward: -6.849, elapsed time: 0:00:02
Episode: 2/200, rounds: 199, score: -1.428e+03, reward: -10.99, elapsed time: 0:00:05
Episode: 3/200, rounds: 199, score: -1.642e+03, reward: -5.758, elapsed time: 0:00:07
Episode: 4/200, rounds: 199, score: -1.07e+03, reward: -5.229, elapsed time: 0:00:09
Episode: 5/200, rounds: 199, score: -1.681e+03, reward: -9.342, elapsed time: 0:00:11
Episode: 6/200, rounds: 199, score: -1.641e+03, reward: -8.571, elapsed time: 0:00:13
Episode: 7/200, rounds: 199, score: -1.465e+03, reward: -4.891, elapsed time: 0:00:15
Episode: 8/200, rounds: 199, score: -1.411e+03, reward: -7.82, elapsed time: 0:00:16
Episode: 9/200, rounds: 199, score: -1.352e+03, reward: -5.364, elapsed time: 0:00:18
Episode: 10/200, rounds: 199, score: -1.119e+03, reward: -1.813, elapsed time: 0:00:21
Episode: 11/200, rounds: 199, score: -1.077e+03, reward: -1.751, elapsed time: 0:00:23
Episode: 12/200, rounds: 199, score: -847.9, reward: -11.91, elapsed time: 0:00:25
Episode: 13/200, rounds: 199, score: -1.369e+03, reward: -7.849, elapsed time: 0:00:27
Episode: 14/200, rounds: 199, score: -826.3, reward: -4.068, elapsed time: 0:00:29
Episode: 15/200, rounds: 199, score: -663.5, reward: -0.06058, elapsed time: 0:00:31
Episode: 16/200, rounds: 199, score: -359.1, reward: -0.02129, elapsed time: 0:00:33
Episode: 17/200, rounds: 199, score: -634.6, reward: -0.01472, elapsed time: 0:00:35
Episode: 18/200, rounds: 199, score: -254.7, reward: -0.00411, elapsed time: 0:00:37
Episode: 19/200, rounds: 199, score: -126.3, reward: -0.002252, elapsed time: 0:00:39
Episode: 20/200, rounds: 199, score: -125.0, reward: -0.0008166, elapsed time: 0:00:40
Episode: 21/200, rounds: 199, score: -124.2, reward: -0.003585, elapsed time: 0:00:42
Episode: 22/200, rounds: 199, score: -384.2, reward: -0.008347, elapsed time: 0:00:44
Episode: 23/200, rounds: 199, score: -249.8, reward: -0.002046, elapsed time: 0:00:46
Episode: 24/200, rounds: 199, score: -236.0, reward: -0.005525, elapsed time: 0:00:48
Episode: 25/200, rounds: 199, score: -126.7, reward: -0.004418, elapsed time: 0:00:50
Episode: 26/200, rounds: 199, score: -233.2, reward: -0.004245, elapsed time: 0:00:52
Episode: 27/200, rounds: 199, score: -244.2, reward: -0.005416, elapsed time: 0:00:54
Episode: 28/200, rounds: 199, score: -128.1, reward: -0.007054, elapsed time: 0:00:56
Episode: 29/200, rounds: 199, score: -0.7507, reward: -0.001156, elapsed time: 0:00:57
Episode: 30/200, rounds: 199, score: -0.7734, reward: -0.006297, elapsed time: 0:00:59
